task_id,manager_id,manager_name,team,channel,priority,requires_login,target_category,query,agent_prompt,output_path_hint,evidence_policy
agent_reach_south_africa_broos_youtube_breakdowns,south_africa_broos,Hugo Broos,South Africa,youtube_breakdowns,3,False,external_views,South Africa Hugo Broos tactical breakdown video analysis,"Use Agent-Reach to research Hugo Broos (South Africa) for the World Cup project.
Channel: youtube_breakdowns. Query: South Africa Hugo Broos tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/south_africa_broos/.
Each Markdown file must start with these metadata lines:
manager_id: south_africa_broos
manager_name: Hugo Broos
team: South Africa
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/south_africa_broos/,Use captions/transcripts when available; cite the video URL.
agent_reach_south_africa_broos_github_and_open_data,south_africa_broos,Hugo Broos,South Africa,github_and_open_data,4,False,decision_records,South Africa football open data lineups formations substitutions Hugo Broos,"Use Agent-Reach to research Hugo Broos (South Africa) for the World Cup project.
Channel: github_and_open_data. Query: South Africa football open data lineups formations substitutions Hugo Broos
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/south_africa_broos/.
Each Markdown file must start with these metadata lines:
manager_id: south_africa_broos
manager_name: Hugo Broos
team: South Africa
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/south_africa_broos/,Prefer structured public data and transparent match records.
agent_reach_korea_republic_hong_web_tactical_reports,korea_republic_hong,Hong Myung-bo,Korea Republic,web_tactical_reports,1,False,tactical_reports,Hong Myung-bo Korea Republic tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Hong Myung-bo (Korea Republic) for the World Cup project.
Channel: web_tactical_reports. Query: Hong Myung-bo Korea Republic tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/.
Each Markdown file must start with these metadata lines:
manager_id: korea_republic_hong
manager_name: Hong Myung-bo
team: Korea Republic
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/,Core recurring tactical evidence from public tactical reports.
agent_reach_korea_republic_hong_press_conferences,korea_republic_hong,Hong Myung-bo,Korea Republic,press_conferences,2,False,press_conferences,Hong Myung-bo Korea Republic press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Hong Myung-bo (Korea Republic) for the World Cup project.
Channel: press_conferences. Query: Hong Myung-bo Korea Republic press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/.
Each Markdown file must start with these metadata lines:
manager_id: korea_republic_hong
manager_name: Hong Myung-bo
team: Korea Republic
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_korea_republic_hong_youtube_breakdowns,korea_republic_hong,Hong Myung-bo,Korea Republic,youtube_breakdowns,3,False,external_views,Korea Republic Hong Myung-bo tactical breakdown video analysis,"Use Agent-Reach to research Hong Myung-bo (Korea Republic) for the World Cup project.
Channel: youtube_breakdowns. Query: Korea Republic Hong Myung-bo tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/.
Each Markdown file must start with these metadata lines:
manager_id: korea_republic_hong
manager_name: Hong Myung-bo
team: Korea Republic
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/,Use captions/transcripts when available; cite the video URL.
agent_reach_korea_republic_hong_github_and_open_data,korea_republic_hong,Hong Myung-bo,Korea Republic,github_and_open_data,4,False,decision_records,Korea Republic football open data lineups formations substitutions Hong Myung-bo,"Use Agent-Reach to research Hong Myung-bo (Korea Republic) for the World Cup project.
Channel: github_and_open_data. Query: Korea Republic football open data lineups formations substitutions Hong Myung-bo
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/.
Each Markdown file must start with these metadata lines:
manager_id: korea_republic_hong
manager_name: Hong Myung-bo
team: Korea Republic
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/korea_republic_hong/,Prefer structured public data and transparent match records.
agent_reach_bosnia_barbarez_web_tactical_reports,bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,web_tactical_reports,1,False,tactical_reports,Sergej Barbarez Bosnia and Herzegovina tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Sergej Barbarez (Bosnia and Herzegovina) for the World Cup project.
Channel: web_tactical_reports. Query: Sergej Barbarez Bosnia and Herzegovina tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/.
Each Markdown file must start with these metadata lines:
manager_id: bosnia_barbarez
manager_name: Sergej Barbarez
team: Bosnia and Herzegovina
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/,Core recurring tactical evidence from public tactical reports.
agent_reach_bosnia_barbarez_press_conferences,bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,press_conferences,2,False,press_conferences,Sergej Barbarez Bosnia and Herzegovina press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Sergej Barbarez (Bosnia and Herzegovina) for the World Cup project.
Channel: press_conferences. Query: Sergej Barbarez Bosnia and Herzegovina press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/.
Each Markdown file must start with these metadata lines:
manager_id: bosnia_barbarez
manager_name: Sergej Barbarez
team: Bosnia and Herzegovina
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_bosnia_barbarez_youtube_breakdowns,bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,youtube_breakdowns,3,False,external_views,Bosnia and Herzegovina Sergej Barbarez tactical breakdown video analysis,"Use Agent-Reach to research Sergej Barbarez (Bosnia and Herzegovina) for the World Cup project.
Channel: youtube_breakdowns. Query: Bosnia and Herzegovina Sergej Barbarez tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/.
Each Markdown file must start with these metadata lines:
manager_id: bosnia_barbarez
manager_name: Sergej Barbarez
team: Bosnia and Herzegovina
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/,Use captions/transcripts when available; cite the video URL.
agent_reach_bosnia_barbarez_github_and_open_data,bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,github_and_open_data,4,False,decision_records,Bosnia and Herzegovina football open data lineups formations substitutions Sergej Barbarez,"Use Agent-Reach to research Sergej Barbarez (Bosnia and Herzegovina) for the World Cup project.
Channel: github_and_open_data. Query: Bosnia and Herzegovina football open data lineups formations substitutions Sergej Barbarez
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/.
Each Markdown file must start with these metadata lines:
manager_id: bosnia_barbarez
manager_name: Sergej Barbarez
team: Bosnia and Herzegovina
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/bosnia_barbarez/,Prefer structured public data and transparent match records.
agent_reach_canada_marsch_web_tactical_reports,canada_marsch,Jesse Marsch,Canada,web_tactical_reports,1,False,tactical_reports,Jesse Marsch Canada tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Jesse Marsch (Canada) for the World Cup project.
Channel: web_tactical_reports. Query: Jesse Marsch Canada tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/canada_marsch/.
Each Markdown file must start with these metadata lines:
manager_id: canada_marsch
manager_name: Jesse Marsch
team: Canada
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/canada_marsch/,Core recurring tactical evidence from public tactical reports.
agent_reach_canada_marsch_press_conferences,canada_marsch,Jesse Marsch,Canada,press_conferences,2,False,press_conferences,Jesse Marsch Canada press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Jesse Marsch (Canada) for the World Cup project.
Channel: press_conferences. Query: Jesse Marsch Canada press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/canada_marsch/.
Each Markdown file must start with these metadata lines:
manager_id: canada_marsch
manager_name: Jesse Marsch
team: Canada
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/canada_marsch/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_canada_marsch_youtube_breakdowns,canada_marsch,Jesse Marsch,Canada,youtube_breakdowns,3,False,external_views,Canada Jesse Marsch tactical breakdown video analysis,"Use Agent-Reach to research Jesse Marsch (Canada) for the World Cup project.
Channel: youtube_breakdowns. Query: Canada Jesse Marsch tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/canada_marsch/.
Each Markdown file must start with these metadata lines:
manager_id: canada_marsch
manager_name: Jesse Marsch
team: Canada
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/canada_marsch/,Use captions/transcripts when available; cite the video URL.
agent_reach_canada_marsch_github_and_open_data,canada_marsch,Jesse Marsch,Canada,github_and_open_data,4,False,decision_records,Canada football open data lineups formations substitutions Jesse Marsch,"Use Agent-Reach to research Jesse Marsch (Canada) for the World Cup project.
Channel: github_and_open_data. Query: Canada football open data lineups formations substitutions Jesse Marsch
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/canada_marsch/.
Each Markdown file must start with these metadata lines:
manager_id: canada_marsch
manager_name: Jesse Marsch
team: Canada
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/canada_marsch/,Prefer structured public data and transparent match records.
agent_reach_qatar_lopetegui_web_tactical_reports,qatar_lopetegui,Julen Lopetegui,Qatar,web_tactical_reports,1,False,tactical_reports,Julen Lopetegui Qatar tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Julen Lopetegui (Qatar) for the World Cup project.
Channel: web_tactical_reports. Query: Julen Lopetegui Qatar tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/.
Each Markdown file must start with these metadata lines:
manager_id: qatar_lopetegui
manager_name: Julen Lopetegui
team: Qatar
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/,Core recurring tactical evidence from public tactical reports.
agent_reach_qatar_lopetegui_press_conferences,qatar_lopetegui,Julen Lopetegui,Qatar,press_conferences,2,False,press_conferences,Julen Lopetegui Qatar press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Julen Lopetegui (Qatar) for the World Cup project.
Channel: press_conferences. Query: Julen Lopetegui Qatar press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/.
Each Markdown file must start with these metadata lines:
manager_id: qatar_lopetegui
manager_name: Julen Lopetegui
team: Qatar
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_qatar_lopetegui_youtube_breakdowns,qatar_lopetegui,Julen Lopetegui,Qatar,youtube_breakdowns,3,False,external_views,Qatar Julen Lopetegui tactical breakdown video analysis,"Use Agent-Reach to research Julen Lopetegui (Qatar) for the World Cup project.
Channel: youtube_breakdowns. Query: Qatar Julen Lopetegui tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/.
Each Markdown file must start with these metadata lines:
manager_id: qatar_lopetegui
manager_name: Julen Lopetegui
team: Qatar
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/,Use captions/transcripts when available; cite the video URL.
agent_reach_qatar_lopetegui_github_and_open_data,qatar_lopetegui,Julen Lopetegui,Qatar,github_and_open_data,4,False,decision_records,Qatar football open data lineups formations substitutions Julen Lopetegui,"Use Agent-Reach to research Julen Lopetegui (Qatar) for the World Cup project.
Channel: github_and_open_data. Query: Qatar football open data lineups formations substitutions Julen Lopetegui
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/.
Each Markdown file must start with these metadata lines:
manager_id: qatar_lopetegui
manager_name: Julen Lopetegui
team: Qatar
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/qatar_lopetegui/,Prefer structured public data and transparent match records.
agent_reach_switzerland_yakin_web_tactical_reports,switzerland_yakin,Murat Yakin,Switzerland,web_tactical_reports,1,False,tactical_reports,Murat Yakin Switzerland tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Murat Yakin (Switzerland) for the World Cup project.
Channel: web_tactical_reports. Query: Murat Yakin Switzerland tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/.
Each Markdown file must start with these metadata lines:
manager_id: switzerland_yakin
manager_name: Murat Yakin
team: Switzerland
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/,Core recurring tactical evidence from public tactical reports.
agent_reach_switzerland_yakin_press_conferences,switzerland_yakin,Murat Yakin,Switzerland,press_conferences,2,False,press_conferences,Murat Yakin Switzerland press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Murat Yakin (Switzerland) for the World Cup project.
Channel: press_conferences. Query: Murat Yakin Switzerland press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/.
Each Markdown file must start with these metadata lines:
manager_id: switzerland_yakin
manager_name: Murat Yakin
team: Switzerland
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_switzerland_yakin_youtube_breakdowns,switzerland_yakin,Murat Yakin,Switzerland,youtube_breakdowns,3,False,external_views,Switzerland Murat Yakin tactical breakdown video analysis,"Use Agent-Reach to research Murat Yakin (Switzerland) for the World Cup project.
Channel: youtube_breakdowns. Query: Switzerland Murat Yakin tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/.
Each Markdown file must start with these metadata lines:
manager_id: switzerland_yakin
manager_name: Murat Yakin
team: Switzerland
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/,Use captions/transcripts when available; cite the video URL.
agent_reach_switzerland_yakin_github_and_open_data,switzerland_yakin,Murat Yakin,Switzerland,github_and_open_data,4,False,decision_records,Switzerland football open data lineups formations substitutions Murat Yakin,"Use Agent-Reach to research Murat Yakin (Switzerland) for the World Cup project.
Channel: github_and_open_data. Query: Switzerland football open data lineups formations substitutions Murat Yakin
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/.
Each Markdown file must start with these metadata lines:
manager_id: switzerland_yakin
manager_name: Murat Yakin
team: Switzerland
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/switzerland_yakin/,Prefer structured public data and transparent match records.
agent_reach_brazil_ancelotti_web_tactical_reports,brazil_ancelotti,Carlo Ancelotti,Brazil,web_tactical_reports,1,False,tactical_reports,Carlo Ancelotti Brazil tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Carlo Ancelotti (Brazil) for the World Cup project.
Channel: web_tactical_reports. Query: Carlo Ancelotti Brazil tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/brazil_ancelotti/.
Each Markdown file must start with these metadata lines:
manager_id: brazil_ancelotti
manager_name: Carlo Ancelotti
team: Brazil
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/brazil_ancelotti/,Core recurring tactical evidence from public tactical reports.
agent_reach_brazil_ancelotti_press_conferences,brazil_ancelotti,Carlo Ancelotti,Brazil,press_conferences,2,False,press_conferences,Carlo Ancelotti Brazil press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Carlo Ancelotti (Brazil) for the World Cup project.
Channel: press_conferences. Query: Carlo Ancelotti Brazil press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/brazil_ancelotti/.
Each Markdown file must start with these metadata lines:
manager_id: brazil_ancelotti
manager_name: Carlo Ancelotti
team: Brazil
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/brazil_ancelotti/,Direct manager quotes should be separated from journalist interpretation.
